,MAPE,RMSE,Min-Max Error
"ARIMA(2, 0, 0) x (0, 1, 1, 7)",0.0067486596216006075,0.006070928499127595,0.006748185464228285
Final Random Forests (Box-Cox transformation),0.011103507015505644,0.00971759353483342,0.01110333669834851
Final LSTM,0.017033233442632034,0.014451946672614374,0.01703319309329754
